start_date_new,nhood,num_parking_meters,wday
2019-11-01,Bayview Hunters Point,111,6
2019-11-01,Bernal Heights,1136,6
2019-11-01,Castro/Upper Market,1903,6
2019-11-01,Chinatown,1999,6
2019-11-01,Excelsior,1031,6
2019-11-01,Financial District/South Beach,8389,6
2019-11-01,Glen Park,330,6
2019-11-01,Golden Gate Park,28,6
2019-11-01,Haight Ashbury,1301,6
2019-11-01,Hayes Valley,2624,6
2019-11-01,Inner Richmond,4761,6
2019-11-01,Inner Sunset,2079,6
2019-11-01,Japantown,1802,6
2019-11-01,Lakeshore,167,6
2019-11-01,Lone Mountain/USF,441,6
2019-11-01,Marina,4161,6
2019-11-01,Mission,9236,6
2019-11-01,Mission Bay,3371,6
2019-11-01,Nob Hill,2222,6
2019-11-01,Noe Valley,1501,6
2019-11-01,North Beach,3310,6
2019-11-01,Oceanview/Merced/Ingleside,261,6
2019-11-01,Outer Mission,1042,6
2019-11-01,Outer Richmond,3961,6
2019-11-01,Pacific Heights,2395,6
2019-11-01,Portola,799,6
2019-11-01,Potrero Hill,518,6
2019-11-01,Presidio Heights,2024,6
2019-11-01,Russian Hill,2204,6
2019-11-01,South of Market,4919,6
2019-11-01,Sunset/Parkside,5126,6
2019-11-01,Tenderloin,2300,6
2019-11-01,Visitacion Valley,265,6
2019-11-01,West of Twin Peaks,4413,6
2019-11-01,Western Addition,2148,6
2019-11-01,NA,1604,6
2019-11-02,Bayview Hunters Point,82,7
2019-11-02,Bernal Heights,1275,7
2019-11-02,Castro/Upper Market,1935,7
2019-11-02,Chinatown,2312,7
2019-11-02,Excelsior,1101,7
2019-11-02,Financial District/South Beach,9676,7
2019-11-02,Glen Park,398,7
2019-11-02,Golden Gate Park,40,7
2019-11-02,Haight Ashbury,1467,7
2019-11-02,Hayes Valley,2706,7
2019-11-02,Inner Richmond,4997,7
2019-11-02,Inner Sunset,2133,7
2019-11-02,Japantown,1738,7
2019-11-02,Lakeshore,89,7
2019-11-02,Lone Mountain/USF,421,7
2019-11-02,Marina,4320,7
2019-11-02,Mission,8582,7
2019-11-02,Mission Bay,3230,7
2019-11-02,Nob Hill,2535,7
2019-11-02,Noe Valley,1456,7
2019-11-02,North Beach,3940,7
2019-11-02,Oceanview/Merced/Ingleside,246,7
2019-11-02,Outer Mission,965,7
2019-11-02,Outer Richmond,3992,7
2019-11-02,Pacific Heights,2452,7
2019-11-02,Portola,651,7
2019-11-02,Potrero Hill,443,7
2019-11-02,Presidio Heights,1845,7
2019-11-02,Russian Hill,2188,7
2019-11-02,South of Market,4545,7
2019-11-02,Sunset/Parkside,5459,7
2019-11-02,Tenderloin,2862,7
2019-11-02,Visitacion Valley,172,7
2019-11-02,West of Twin Peaks,4707,7
2019-11-02,Western Addition,1976,7
2019-11-02,NA,1917,7
2019-11-04,Bayview Hunters Point,68,2
2019-11-04,Bernal Heights,1212,2
2019-11-04,Castro/Upper Market,1705,2
2019-11-04,Chinatown,2150,2
2019-11-04,Excelsior,1036,2
2019-11-04,Financial District/South Beach,7954,2
2019-11-04,Glen Park,386,2
2019-11-04,Golden Gate Park,17,2
2019-11-04,Haight Ashbury,1096,2
2019-11-04,Hayes Valley,2457,2
2019-11-04,Inner Richmond,4685,2
2019-11-04,Inner Sunset,1780,2
2019-11-04,Japantown,1691,2
2019-11-04,Lakeshore,153,2
2019-11-04,Lone Mountain/USF,486,2
2019-11-04,Marina,4003,2
2019-11-04,Mission,8208,2
2019-11-04,Mission Bay,3207,2
2019-11-04,Nob Hill,2170,2
2019-11-04,Noe Valley,1486,2
2019-11-04,North Beach,2847,2
2019-11-04,Oceanview/Merced/Ingleside,178,2
2019-11-04,Outer Mission,1006,2
2019-11-04,Outer Richmond,3288,2
2019-11-04,Pacific Heights,2162,2
2019-11-04,Portola,657,2
2019-11-04,Potrero Hill,533,2
2019-11-04,Presidio Heights,1877,2
2019-11-04,Russian Hill,2163,2
2019-11-04,South of Market,4411,2
2019-11-04,Sunset/Parkside,4968,2
2019-11-04,Tenderloin,2342,2
2019-11-04,Visitacion Valley,169,2
2019-11-04,West of Twin Peaks,4320,2
2019-11-04,Western Addition,2127,2
2019-11-04,NA,1186,2
2019-11-05,Bayview Hunters Point,98,3
2019-11-05,Bernal Heights,1136,3
2019-11-05,Castro/Upper Market,1715,3
2019-11-05,Chinatown,2361,3
2019-11-05,Excelsior,884,3
2019-11-05,Financial District/South Beach,8208,3
2019-11-05,Glen Park,388,3
2019-11-05,Golden Gate Park,23,3
2019-11-05,Haight Ashbury,1094,3
2019-11-05,Hayes Valley,2457,3
2019-11-05,Inner Richmond,4718,3
2019-11-05,Inner Sunset,1859,3
2019-11-05,Japantown,1791,3
2019-11-05,Lakeshore,170,3
2019-11-05,Lone Mountain/USF,434,3
2019-11-05,Marina,4155,3
2019-11-05,Mission,8018,3
2019-11-05,Mission Bay,3329,3
2019-11-05,Nob Hill,2209,3
2019-11-05,Noe Valley,1501,3
2019-11-05,North Beach,2921,3
2019-11-05,Oceanview/Merced/Ingleside,201,3
2019-11-05,Outer Mission,1004,3
2019-11-05,Outer Richmond,3154,3
2019-11-05,Pacific Heights,2186,3
2019-11-05,Portola,655,3
2019-11-05,Potrero Hill,541,3
2019-11-05,Presidio Heights,1919,3
2019-11-05,Russian Hill,2215,3
2019-11-05,South of Market,4559,3
2019-11-05,Sunset/Parkside,4721,3
2019-11-05,Tenderloin,2366,3
2019-11-05,Visitacion Valley,192,3
2019-11-05,West of Twin Peaks,4129,3
2019-11-05,Western Addition,2077,3
2019-11-05,NA,1373,3
2019-11-06,Bayview Hunters Point,128,4
2019-11-06,Bernal Heights,1129,4
2019-11-06,Castro/Upper Market,1729,4
2019-11-06,Chinatown,2354,4
2019-11-06,Excelsior,964,4
2019-11-06,Financial District/South Beach,8479,4
2019-11-06,Glen Park,357,4
2019-11-06,Golden Gate Park,20,4
2019-11-06,Haight Ashbury,1054,4
2019-11-06,Hayes Valley,2313,4
2019-11-06,Inner Richmond,4701,4
2019-11-06,Inner Sunset,1734,4
